Number,First,Len,Rotate,GNU,Rot13,FAQ6,Ly,Rs,Sum
0,0,0,25,1279,27,12,19,16,0
1,0,26,19,0,23,19,14,17,0
2,0,427,27,0,22,15,28,29,0
3,0,2130,20,0,27,25,18,25,0
4,0,7186,21,0,24,16,13,23,0
5,0,15918,16,0,22,13,22,26,0
6,0,29874,21,0,13,21,23,18,0
7,0,41998,16,0,16,19,22,17,0
8,0,51627,21,0,15,15,12,21,0
9,0,53402,20,0,20,17,17,21,0
10,0,45872,28,0,24,28,20,24,0
11,0,37539,27,0,23,14,18,21,0
12,0,29125,25,0,20,24,15,21,0
13,0,20944,24,0,12,32,26,21,0
14,0,14148,17,0,18,19,19,17,0
15,0,8846,26,0,19,18,25,12,0
16,0,5182,16,0,12,23,20,28,0
17,0,2967,32,0,14,25,19,26,0
18,0,1471,16,0,14,12,25,19,0
19,0,760,24,0,13,25,19,17,0
20,0,359,19,0,14,19,19,21,0
21,0,168,22,0,12,30,25,22,0
22,0,74,14,0,8,15,20,17,0
23,0,31,24,0,6,26,10,29,0
24,0,12,19,0,7,19,27,20,0
25,0,8,21,0,5,24,20,21,0
26,0,0,28,0,8,23,22,16,0
27,0,3,21,0,11,19,21,12,0
28,0,2,13,0,14,30,18,21,0
29,0,2,22,0,3,18,25,26,0
30,0,0,21,0,10,15,24,19,0
31,0,1,28,0,9,16,18,18,0
32,0,0,16,0,6,13,21,20,0
33,0,0,11,0,4,18,14,21,0
34,0,0,25,0,6,21,25,23,0
35,0,0,30,0,5,27,23,18,0
36,0,0,25,0,9,32,24,22,0
37,0,0,25,0,6,30,20,29,0
38,0,0,21,0,6,26,21,16,0
39,0,0,18,0,4,26,22,11,0
40,0,0,26,0,2,13,24,22,0
41,0,0,21,0,5,25,15,19,0
42,0,0,28,0,3,19,21,19,0
43,0,0,24,0,2,22,18,17,0
44,0,0,26,0,2,28,27,29,0
45,0,0,23,0,3,20,18,23,0
46,0,0,25,0,0,26,19,18,0
47,0,0,20,0,1,26,25,30,0
48,0,0,17,0,1,25,19,24,0
49,0,0,29,0,3,33,23,16,0
50,0,0,21,0,5,16,27,26,0
51,0,0,25,0,5,21,14,23,0
52,0,0,25,0,2,17,14,23,0
53,0,0,19,0,2,13,15,22,0
54,0,0,18,0,1,16,14,23,0
55,0,0,18,0,4,25,15,19,0
56,0,0,16,0,6,23,15,21,0
57,0,0,14,0,6,15,24,23,0
58,0,0,24,0,6,21,16,28,0
59,0,0,16,0,1,14,19,28,0
60,0,0,16,0,7,15,21,22,0
61,0,0,23,0,5,21,21,23,0
62,0,0,22,0,7,15,8,23,0
63,0,0,22,0,10,21,18,14,0
64,0,0,19,0,7,9,20,25,0
65,0,0,19,0,8,18,26,19,0
66,0,0,24,0,5,27,24,22,0
67,0,0,21,0,10,12,16,18,0
68,0,0,19,0,12,27,17,23,0
69,0,0,23,0,9,19,19,26,0
70,0,0,29,0,7,17,17,22,0
71,0,0,17,0,6,24,26,21,0
72,0,0,11,0,15,18,26,18,0
73,0,0,30,0,7,23,21,17,0
74,0,0,18,0,13,16,16,16,0
75,0,0,19,0,5,16,17,18,0
76,0,0,22,0,7,17,24,20,0
77,0,0,18,0,8,14,28,21,0
78,0,0,16,0,12,24,24,29,0
79,0,0,17,0,12,22,24,15,0
80,0,0,13,0,12,27,14,18,0
81,0,0,22,0,12,25,22,17,0
82,0,0,20,0,18,16,19,34,0
83,0,0,21,0,9,25,12,23,0
84,0,0,18,0,16,23,19,19,0
85,0,0,25,0,18,14,24,13,0
86,0,0,25,0,14,24,18,13,0
87,0,0,23,0,17,14,24,28,0
88,0,0,24,0,27,28,22,17,0
89,0,0,24,0,15,18,26,26,0
90,0,0,19,0,17,22,24,20,0
91,0,0,23,0,11,19,19,17,0
92,0,0,18,0,11,18,15,17,0
93,0,0,21,0,20,16,16,18,0
94,0,0,20,0,20,24,20,30,0
95,0,0,20,0,23,22,19,16,0
96,0,0,19,0,16,24,21,26,0
97,25417,0,16,0,17,24,17,18,1
98,18413,0,21,0,18,21,15,18,1
99,32106,0,28,0,23,17,28,26,1
100,18733,0,22,0,16,25,26,14,1
101,14197,0,20,0,20,25,29,30,1
102,11893,0,22,0,19,17,25,19,1
103,10953,0,16,0,18,26,19,21,1
104,13743,0,20,0,15,18,17,22,1
105,13199,0,16,0,15,19,23,15,1
106,2840,0,16,0,25,17,13,20,1
107,3952,0,28,0,17,25,16,19,1
108,10002,0,24,0,14,26,15,17,1
109,19805,0,16,0,13,20,21,20,1
110,13458,0,17,0,16,19,29,19,1
111,12681,0,23,0,13,14,19,21,1
112,34860,0,29,0,19,23,20,13,1
113,1793,0,18,0,14,16,16,25,1
114,16783,0,18,0,11,21,12,18,1
115,38764,0,21,0,12,29,23,15,1
116,18819,0,16,0,21,33,16,18,1
117,22767,0,15,0,17,15,21,13,1
118,5329,0,16,0,13,18,21,23,1
119,6559,0,18,0,12,23,21,20,1
120,507,0,19,0,13,12,21,25,1
121,1143,0,17,0,11,20,20,23,1
